"행정구역별(1)","시점",데이터
"충청북도","2010",11.4
"충청북도","2011",11.2
"충청북도","2012",11.1
"충청북도","2013",11.6
"충청북도","2014",12.0
"충청북도","2015",12.4
"충청북도","2016",12.6
"충청북도","2017",11.9
"충청북도","2018",11.9
"충청북도","2019",12.4
"충청북도","2020",12.1
"충청북도","2021",12.5
"충청남도","2000",11.7
"충청남도","2001",12.2
"충청남도","2002",12.1
"충청남도","2003",12.0
"충청남도","2004",12.5
"충청남도","2005",11.8
"충청남도","2006",12.3
"충청남도","2007",12.6
"충청남도","2008",12.4
"충청남도","2009",12.4
"충청남도","2010",12.2
"충청남도","2011",11.8
"충청남도","2012",11.7
"충청남도","2013",12.1
"충청남도","2014",12.6
"충청남도","2015",12.9
"충청남도","2016",13.1
"충청남도","2017",12.3
"충청남도","2018",12.4
"충청남도","2019",12.7
"충청남도","2020",12.7
"충청남도","2021",13.2
"전라북도","2000",12.0
"전라북도","2001",12.4
"전라북도","2002",12.5
"전라북도","2003",12.3
"전라북도","2004",12.7
"전라북도","2005",12.0
"전라북도","2006",12.8
"전라북도","2007",13.0
"전라북도","2008",12.9
"전라북도","2009",12.8
"전라북도","2010",12.6
"전라북도","2011",12.3
"전라북도","2012",12.3
"전라북도","2013",12.7
"전라북도","2014",12.9
"전라북도","2015",13.2
"전라북도","2016",13.5
"전라북도","2017",12.7
"전라북도","2018",12.9
"전라북도","2019",13.1
"전라북도","2020",13.0
"전라북도","2021",13.5
"전라남도","2000",13.2
"전라남도","2001",13.5
"전라남도","2002",13.3
"전라남도","2003",13.2
"전라남도","2004",13.7
"전라남도","2005",12.9
"전라남도","2006",13.4
"전라남도","2007",13.8
"전라남도","2008",13.5
"전라남도","2009",13.6
"전라남도","2010",13.4
"전라남도","2011",13.1
"전라남도","2012",13.2
"전라남도","2013",13.7
"전라남도","2014",13.8
"전라남도","2015",14.0
"전라남도","2016",14.3
"전라남도","2017",13.8
"전라남도","2018",13.8
"전라남도","2019",14.2
"전라남도","2020",14.1
"전라남도","2021",14.7
"경상북도","2000",12.2
"경상북도","2001",12.2
"경상북도","2002",12.0
"경상북도","2003",11.8
"경상북도","2004",12.7
"경상북도","2005",11.9
"경상북도","2006",12.4
"경상북도","2007",12.9
"경상북도","2008",12.5
"경상북도","2009",12.6
"경상북도","2010",12.2
"경상북도","2011",12.0
"경상북도","2012",11.8
"경상북도","2013",12.5
"경상북도","2014",12.5
"경상북도","2015",13.0
"경상북도","2016",13.2
"경상북도","2017",12.8
"경상북도","2018",12.7
"경상북도","2019",13.3
"경상북도","2020",13.0
"경상북도","2021",12.9
"경상남도","2000",13.5
"경상남도","2001",13.5
"경상남도","2002",13.6
"경상남도","2003",13.5
"경상남도","2004",14.3
"경상남도","2005",13.4
"경상남도","2006",13.8
"경상남도","2007",14.3
"경상남도","2008",13.9
"경상남도","2009",14.2
"경상남도","2010",13.8
"경상남도","2011",13.6
"경상남도","2012",13.3
"경상남도","2013",14.0
"경상남도","2014",13.8
"경상남도","2015",14.0
"경상남도","2016",14.4
"경상남도","2017",14.1
"경상남도","2018",13.9
"경상남도","2019",14.4
"경상남도","2020",14.1
"경상남도","2021",14.5
"제주특별자치도","2000",15.7
"제주특별자치도","2001",15.7
"제주특별자치도","2002",16.0
"제주특별자치도","2003",16.3
